Transaction ID,Items
Trans1,"Desk Top, Printer, Flash Drive, Microsoft Office, Speakers, Anti-Virus"
Trans2,"Lab Top, Flash Drive, Microsoft Office, Lab Top Case, Anti-Virus"
Trans3,"Lab Top, Printer, Flash Drive, Microsoft Office, Anti-Virus, Lab Top Case, External Hard-Drive"
Trans4,"Lab Top, Printer, Flash Drive, Anti-Virus, External Hard-Drive, Lab Top Case"
Trans5,"Lab Top, Flash Drive, Lab Top Case, Anti-Virus"
Trans6,"Printer, External Hard-Drive, Lab Top Case, Lab Top, Speakers"
Trans7,"Lab Top, Printer, Speakers"
Trans8,"Speakers, Lab Top, External Hard-Drive, Flash Drive, Desk Top"
Trans9,"Anti-Virus, Digital Camera"
Trans10,"Microsoft Office, Desk Top, Speakers, Lab Top, Lab Top Case"
Trans11,"Desk Top, Flash Drive, Lab Top, Anti-Virus"
Trans12,"Anti-Virus, Lab Top, Printer, Lab Top Case"
Trans13,"Digital Camera, Printer, Anti-Virus, Lab Top Case, Flash Drive"
Trans14,"Lab Top, Microsoft Office, Anti-Virus"
Trans15,"Digital Camera, Lab Top, Microsoft Office, Desk Top, Lab Top Case"
Trans16,"Digital Camera, External Hard-Drive, Microsoft Office"
Trans17,"Lab Top Case, Digital Camera"
Trans18,"Digital Camera, Lab Top, Speakers, Lab Top Case, Anti-Virus"
Trans19,"Flash Drive, Microsoft Office, Anti-Virus, Printer, Lab Top"
Trans20,"Microsoft Office, External Hard-Drive, Lab Top, Anti-Virus"
